eps,log_prec,num_class,actual_eps,setup,committing,computing,proving,verifying,comm
0.5,12,2,0.5004224090051046,1.61447,0.00049349,0.000325729,2.25147,0.00617964,2032
0.5,12,4,0.5003280376341035,1.24474,0.000340161,0.000238656,2.22894,0.00617416,2032
0.5,12,8,0.49551920248331505,1.24663,0.00038624,0.000248413,2.21562,0.00620811,2032
0.5,12,16,0.5010216236693699,1.61001,0.000492047,0.000319577,2.2588,0.00621369,2032
0.5,12,32,0.5698489642154517,1.24311,0.00039541,0.000245997,2.23245,0.00623411,2032
0.5,12,64,0.7010523600670585,1.23705,0.000391475,0.000243618,2.2176,0.00616177,2032
0.5,12,128,0.0,0.845457,0.000389711,0.000236536,2.21253,0.00614938,2032
1.0,6,2,1.0169342576538425,0.0425142,0.000390943,6.523e-06,0.0467572,0.00805908,2032
1.0,6,4,1.0360919316867758,0.0427483,0.000487947,7.295e-06,0.0470017,0.00804992,2032
1.0,6,8,0.7621400520468967,0.0430521,0.000495212,7.415e-06,0.04713,0.00807715,2032
1.0,6,16,0.0,0.0355553,0.00050799,6.152e-06,0.0470663,0.00802346,2032
1.0,6,32,0.0,0.0359388,0.000509078,4.86e-06,0.0470115,0.00805382,2032
1.0,6,64,0.0,0.0341508,0.000554604,2.477e-06,0.0474697,0.00807502,2032
1.0,7,2,1.0169342576538425,0.059176,0.000376044,9.146e-06,0.0697326,0.00615531,2032
1.0,7,4,1.0360919316867758,0.0668657,0.000438751,1.2246e-05,0.0912167,0.00809271,2032
1.0,7,8,1.0459685551826878,0.0675578,0.000492874,1.219e-05,0.0912753,0.00806145,2032
1.0,7,16,1.1895840668738364,0.0657686,0.000504703,1.2271e-05,0.0912661,0.00806357,2032
1.0,7,32,0.0,0.0518636,0.000504711,9.856e-06,0.0912705,0.0080743,2032
1.0,7,64,0.0,0.0521495,0.000516523,7.645e-06,0.0911425,0.00806779,2032
1.0,7,128,0.0,0.0522466,0.000514031,2.424e-06,0.0914552,0.00805322,2032
1.0,8,2,0.9970021122573273,0.118444,0.000487526,2.2091e-05,0.179921,0.00801267,2032
1.0,8,4,0.9891280558264214,0.115947,0.000491883,2.1914e-05,0.180044,0.00803992,2032
1.0,8,8,1.0459685551826878,0.115998,0.000506098,2.194e-05,0.180085,0.00806795,2032
1.0,8,16,1.1895840668738364,0.114545,0.000508222,2.2348e-05,0.180153,0.00809828,2032
1.0,8,32,0.0,0.0847695,0.000484444,2.0073e-05,0.18051,0.00803426,2032
1.0,8,64,0.0,0.0840914,0.000488265,1.7294e-05,0.18013,0.00802656,2032
1.0,8,128,0.0,0.0842605,0.000508187,1.2347e-05,0.180244,0.00806647,2032
1.0,9,2,0.9970021122573273,0.217141,0.000386477,4.1071e-05,0.358664,0.00808513,2032
1.0,9,4,0.9891280558264214,0.216044,0.000494157,4.1696e-05,0.358585,0.00804862,2032
1.0,9,8,0.9784679768260465,0.215874,0.000507468,4.2527e-05,0.358739,0.00804836,2032
1.0,9,16,0.9765095918672099,0.213694,0.000511364,4.2102e-05,0.358487,0.00806187,2032
1.0,9,32,1.1420974006078486,0.213967,0.00051035,4.2117e-05,0.358902,0.00805295,2032
1.0,9,64,0.0,0.152777,0.000510396,3.7388e-05,0.358688,0.00808063,2032
1.0,9,128,0.0,0.151057,0.000513889,3.2399e-05,0.358817,0.00807108,2032
1.0,10,2,1.0019678858506482,0.416182,0.000379421,8.1424e-05,0.718322,0.00806717,2032
1.0,10,4,1.000878317241835,0.41636,0.000485883,8.0174e-05,0.718305,0.00807347,2032
1.0,10,8,1.0124663379549088,0.416187,0.000512117,8.2547e-05,0.720893,0.00807571,2032
1.0,10,16,0.9765095918672099,0.413737,0.000506633,8.0942e-05,0.718333,0.00805506,2032
1.0,10,32,1.1420974006078486,0.408606,0.000514609,8.0332e-05,0.718169,0.00804887,2032
1.0,10,64,0.0,0.28535,0.000514934,7.6605e-05,0.718414,0.00808204,2032
1.0,10,128,0.0,0.28626,0.000507553,7.1551e-05,0.718312,0.00805169,2032
1.0,11,2,0.9994835752667138,0.81318,0.000490629,0.000160679,1.31629,0.00716437,2032
1.0,11,4,1.000878317241835,0.813874,0.000455354,0.000162242,1.31591,0.00712969,2032
1.0,11,8,0.9955310761799436,0.631396,0.000391786,0.000124444,1.10503,0.00617729,2032
1.0,11,16,0.9765095918672099,0.805269,0.000516037,0.000157501,1.31774,0.00714621,2032
1.0,11,32,0.9453719411749968,0.628364,0.00039566,0.000123067,1.10151,0.00614434,2032
1.0,11,64,1.1198896871153945,0.628724,0.000389529,0.000123292,1.10148,0.00619681,2032
1.0,11,128,0.0,0.434292,0.000394843,0.000115771,1.10143,0.00618835,2032
1.0,12,2,0.9994835752667138,1.25403,0.000378354,0.000244939,2.21113,0.0061489,2032
1.0,12,4,1.000878317241835,1.24998,0.000377087,0.000241719,2.21427,0.00615387,2032
1.0,12,8,1.0040144441663743,1.24095,0.000377346,0.000246523,2.22013,0.00617217,2032
1.0,12,16,1.0048881520194195,1.24091,0.000392036,0.000245349,2.21188,0.0061691,2032
1.0,12,32,1.0477538714346186,1.23958,0.000394016,0.000248261,2.21639,0.00624947,2032
1.0,12,64,1.1198896871153945,1.59703,0.000508302,0.00032565,2.24222,0.00622148,2032
1.0,12,128,0.0,0.845916,0.000397623,0.000235659,2.22853,0.00617093,2032
2.0,6,2,1.9459101490553132,0.0422417,0.000372075,6.487e-06,0.0357553,0.00618374,2032
2.0,6,4,2.03688192726104,0.0433965,0.000488397,7.382e-06,0.0468424,0.00805344,2032
